bulk_symbols,structure
Bi17 W3 O34,"Full Formula (Bi17 W3 O34)
Reduced Formula: Bi17W3O34
abc   :  10.273977  10.410490  10.418440
angles: 107.605182 106.167823 113.205692
pbc   :       True       True       True
Sites (54)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Bi    0.777627  0.693285  0.719696     0
  1  Bi    0.526755  0.9181    0.189139     0
  2  Bi    0.641372  0.633397  0.000872     0.001
  3  Bi    0.497368  0.596802  0.319707     0.004
  4  Bi    0.983946  0.092094  0.291429     0
  5  Bi    0.573363  0.280401  0.077344     0
  6  Bi    0.80329   0.026997  0.592138     0.011
  7  Bi    0.3476    0.538473  0.57922      0.001
  8  Bi    0.111228  0.785195  0.130856     0.011
  9  Bi    0.938338  0.740677  0.425166     0.005
 10  Bi    0.436561  0.232984  0.401432     0.006
 11  Bi    0.184135  0.492761  0.912953     0
 12  Bi    0.025285  0.439142  0.218719    -0
 13  Bi    0.269946  0.167388  0.666078     0.01
 14  Bi    0.742989  0.34968   0.822224     0
 15  Bi    0.241725  0.834195  0.798036    -0
 16  Bi    0.669582  0.978244  0.87878      0.012
 17  W     0.845873  0.352352  0.496867     0.001
 18  W     0.111208  0.125707  0.005695     0.003
 19  W     0.39558   0.911378  0.515023     0.974
 20  O     0.209041  0.740042  0.972423    -0.001
 21  O     0.478002  0.010456  0.980124     0
 22  O     0.380096  0.957696  0.304485    -0.007
 23  O     0.431879  0.652515  0.116184    -0
 24  O     0.742009  0.892544  0.123984     0.001
 25  O     0.6824    0.345386  0.5769      -0
 26  O     0.990583  0.350804  0.414626    -0
 27  O     0.753944  0.10134   0.411308    -0
 28  O     0.53652   0.841767  0.438196    -0.007
 29  O     0.743437  0.581979  0.195592     0.001
 30  O     0.321614  0.273748  0.144061     0
 31  O     0.949958  0.349226  0.679925     0
 32  O     0.095792  0.012231  0.137497     0.001
 33  O     0.049908  0.501961  0.034842     0
 34  O     0.75771   0.275449  0.021002    -0
 35  O     0.531895  0.523674  0.517772     0
 36  O     0.278584  0.279669  0.507489    -0.002
 37  O     0.016981  0.976624  0.44167     -0
 38  O     0.773913  0.77398   0.511199     0.002
 39  O     0.672413  0.283361  0.305508     0
 40  O     0.179781  0.747206  0.355872     0.008
 41  O     0.594353  0.703154  0.795925    -0
 42  O     0.109706  0.240842  0.894789     0.001
 43  O     0.869192  0.95732   0.835522     0
 44  O     0.937414  0.570188  0.572356    -0
 45  O     0.004067  0.206964  0.109533     0
 46  O     0.263728  0.945817  0.64324     -0.002
 47  O     0.406905  0.115242  0.552418    -0.016
 48  O     0.826438  0.632722  0.9319       0.001
 49  O     0.529343  0.3316    0.854894    -0
 50  O     0.149424  0.979753  0.880478    -0.001
 51  O     0.277468  0.51467   0.348815    -0
 52  O     0.429994  0.811205  0.647548    -0.01
 53  O     0.65157   0.079447  0.700553    -0.002"
Zn4 Mo6 O16,"Full Formula (Zn4 Mo6 O16)
Reduced Formula: Zn2Mo3O8
abc   :   6.287298   6.287298   9.557708
angles:  90.000000  90.000000 120.000002
pbc   :       True       True       True
Sites (26)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Zn    0.333333  0.666667  0.787703     0.017
  1  Zn    0.666667  0.333333  0.287703     0.017
  2  Zn    0.666667  0.333333  0.905124     0.017
  3  Zn    0.333333  0.666667  0.405124     0.017
  4  Mo    0.16402   0.328039  0.078647     1.916
  5  Mo    0.328039  0.16402   0.578647     1.916
  6  Mo    0.16402   0.83598   0.078647     1.916
  7  Mo    0.83598   0.16402   0.578647     1.916
  8  Mo    0.83598   0.671961  0.578647     1.916
  9  Mo    0.671961  0.83598   0.078647     1.916
 10  O     0         0         0.466677     0.11
 11  O     0         0         0.966677     0.11
 12  O     0.666667  0.333333  0.695805     0.065
 13  O     0.333333  0.666667  0.195805     0.065
 14  O     0.51826   0.03652   0.4539      -0.001
 15  O     0.48174   0.51826   0.9539      -0.001
 16  O     0.03652   0.51826   0.9539      -0.001
 17  O     0.96348   0.48174   0.4539      -0.001
 18  O     0.51826   0.48174   0.4539      -0.001
 19  O     0.48174   0.96348   0.9539      -0.001
 20  O     0.833011  0.166989  0.17484     -0.027
 21  O     0.666022  0.833011  0.67484     -0.027
 22  O     0.166989  0.333978  0.67484     -0.027
 23  O     0.166989  0.833011  0.67484     -0.027
 24  O     0.333978  0.166989  0.17484     -0.027
 25  O     0.833011  0.666022  0.17484     -0.027"
Sr4 Bi4 O12,"Full Formula (Sr4 Bi4 O12)
Reduced Formula: SrBiO3
abc   :   5.954964   6.144117   8.505411
angles:  90.000000  90.034799  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a          b          c    magmom
---  ----  --------  ---------  ---------  --------
  0  Sr    0.985613   0.551151   0.249242         0
  1  Sr    0.514387   0.051151   0.250758         0
  2  Sr    0.014387   0.448849   0.750758         0
  3  Sr    0.485613   0.948849   0.749242         0
  4  Bi    0         -0         -0                0
  5  Bi    0.5        0.5        0.5              0
  6  Bi    0         -0          0.5             -0
  7  Bi    0.5        0.5       -0               -0
  8  O     0.689164   0.7856     0.058885        -0
  9  O     0.810836   0.2856     0.441115        -0
 10  O     0.310836   0.2144     0.941115        -0
 11  O     0.189164   0.7144     0.558885        -0
 12  O     0.788192   0.305973   0.052601         0
 13  O     0.711808   0.805973   0.447399         0
 14  O     0.211808   0.694027   0.947399         0
 15  O     0.288192   0.194027   0.552601         0
 16  O     0.394982   0.457715   0.238641         0
 17  O     0.105018   0.957715   0.261359         0
 18  O     0.605018   0.542285   0.761359         0
 19  O     0.894982   0.042285   0.738641         0"
Ba12 Co4 O20,"Full Formula (Ba12 Co4 O20)
Reduced Formula: Ba3CoO5
abc   :   7.269905   7.269513  11.817486
angles:  89.993179  90.218994  89.994913
pbc   :       True       True       True
Sites (36)
  #  SP            a          b          c    magmom
---  ----  ---------  ---------  ---------  --------
  0  Ba     0.001368   0.003504   0.250062    -0.001
  1  Ba     0.496776   0.499003   0.749997    -0.001
  2  Ba     0.501189   0.496482   0.250061    -0.001
  3  Ba    -0.003263   0.001568   0.749995    -0.001
  4  Ba     0.678573   0.177319   0.000644     0.006
  5  Ba     0.175621   0.677131   0.50033      0.008
  6  Ba     0.324001   0.822598  -0.000619     0.006
  7  Ba     0.821117   0.322597   0.49956      0.004
  8  Ba     0.824001   0.677404  -0.000666     0.006
  9  Ba     0.321115   0.177439   0.499538     0.004
 10  Ba     0.17854    0.322675   0.000689     0.006
 11  Ba     0.675616   0.822958   0.500361     0.008
 12  Co     0.497225   0.000464   0.749995     0.812
 13  Co     0.997338   0.499913   0.750007     0.813
 14  Co     0.00064    0.503895   0.249952     0.809
 15  Co     0.500848   0.996138   0.24994      0.809
 16  O      0.001687  -0.000543   9.8e-05     -0.006
 17  O      0.498573   0.499484   0.500179    -0.005
 18  O      0.501815   0.50047    8.8e-05     -0.006
 19  O     -0.001305   0.000522   0.50016     -0.005
 20  O      0.129636   0.629139   0.150498     0.004
 21  O      0.631809   0.127019   0.654521     0.056
 22  O      0.367785   0.872018   0.34797      0.014
 23  O      0.87264    0.369954   0.849213     0.008
 24  O      0.873906   0.368393   0.154887     0.058
 25  O      0.370579   0.871568   0.650759     0.005
 26  O      0.373797   0.131487   0.154966     0.059
 27  O      0.870543   0.62813    0.650513     0.004
 28  O      0.867972   0.628193   0.348076     0.013
 29  O      0.372456   0.129658   0.849513     0.005
 30  O      0.62415    0.133243   0.346418     0.05
 31  O      0.133983   0.625419   0.845556     0.054
 32  O      0.124225   0.366873   0.34633      0.051
 33  O      0.633823   0.874361   0.845233     0.056
 34  O      0.629673   0.87082    0.150438     0.004
 35  O      0.13155    0.372704   0.654737     0.057"
Al4 V8 O16,"Full Formula (Al4 V8 O16)
Reduced Formula: AlV2O4
abc   :   5.807995  10.156628   5.828687
angles:  89.938914  59.981990  73.363603
pbc   :       True       True       True
Sites (28)
  #  SP           a          b         c    magmom
---  ----  --------  ---------  --------  --------
  0  Al    0.616715   0.314045  0.943591     0.009
  1  Al    0.631105   0.806831  0.433564    -0.002
  2  Al    0.370321   0.1836    0.571042     0.011
  3  Al    0.371466   0.690197  0.059234     0.001
  4  V     0.993652  -1.5e-05   0.002978     2.129
  5  V     0.003139   0.499851  0.505002     2.086
  6  V     0.504388   0.497957  0.49439     -2.242
  7  V     0.998627   0.996714  0.508425    -2.078
  8  V     1.00039    0.757184  0.743254    -2.043
  9  V     0.512761   0.996418  0.999405     2.107
 10  V     0.00281    0.502397  0.981431     2.089
 11  V     0.988882   0.251653  0.261436     2.076
 12  O     0.247721   0.122626  0.381217     0.017
 13  O     0.251715   0.630609  0.865541     0.008
 14  O     0.751841   0.37446   0.118785     0.018
 15  O     0.748486   0.873799  0.620055     0.01
 16  O     0.746028   0.374479  0.631683     0.008
 17  O     0.752422   0.872767  0.128456    -0.004
 18  O     0.2534     0.368787  0.621938    -0.007
 19  O     0.252742   0.875821  0.122621    -0.001
 20  O     0.746282   0.124218  0.385587     0.009
 21  O     0.74875    0.630659  0.869548    -0.002
 22  O     0.743513   0.12881   0.882715    -0.003
 23  O     0.764715   0.622289  0.362452    -0.001
 24  O     0.248116   0.12373   0.888114     0.005
 25  O     0.25366    0.627417  0.368213    -0.006
 26  O     0.23833    0.377879  0.126102     0.004
 27  O     0.258027   0.874819  0.623225     0.007"
Rb1 Bi1 O3,"Full Formula (Rb1 Bi1 O3)
Reduced Formula: RbBiO3
abc   :   4.259822   4.259822   4.259822
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Rb    0    0    0           0
  1  Bi    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0"
Cr2 Sb2 O8,"Full Formula (Cr4 Sb4 O16)
Reduced Formula: CrSbO4
abc   :   4.579963   6.166758   9.663725
angles:  71.394088  91.322843  89.999434
pbc   :       True       True       True
Sites (24)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Cr     0.499981  0.12497   0.250014    -2.78
  1  Cr     0.500019  0.875035  0.749986    -2.78
  2  Cr     0.500019  0.375035  0.749986     2.78
  3  Cr     0.499981  0.62497   0.250014     2.78
  4  Sb     1         0.749997  0.500003     0
  5  Sb     0         0.500001  0.999997    -0
  6  Sb     0.999999  0.249999  0.500003    -0
  7  Sb    -0         1e-06     0.999997     0
  8  O      0.694461  0.576393  0.847277    -0
  9  O      0.694503  0.32635   0.347246    -0
 10  O      0.694461  0.076393  0.847277     0
 11  O      0.694504  0.82635   0.347246     0
 12  O      0.305495  0.673648  0.652756    -0
 13  O      0.305541  0.423607  0.152721    -0
 14  O      0.305494  0.173648  0.652756     0
 15  O      0.305542  0.923607  0.15272      0
 16  O      0.195241  0.298874  0.902278    -0.003
 17  O      0.195377  0.048805  0.40232      0.005
 18  O      0.19524   0.798875  0.902277     0.003
 19  O      0.195377  0.548805  0.40232     -0.005
 20  O      0.804626  0.451192  0.597686    -0.005
 21  O      0.804757  0.201127  0.097718     0.003
 22  O      0.804626  0.951192  0.597686     0.005
 23  O      0.804757  0.701128  0.097717    -0.003"
Tl4 V6 O16,"Full Formula (Tl4 V6 O16)
Reduced Formula: Tl2V3O8
abc   :   8.915469   8.915469   5.418494
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (26)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Tl     0.171204   0.671204  0.767178    -0
  1  Tl     0.828796   0.328796  0.767178    -0
  2  Tl     0.671204   0.828796  0.767178    -0
  3  Tl     0.328796   0.171204  0.767178    -0
  4  V      0.634788   0.134788  0.293984     0.09
  5  V      0.365212   0.865212  0.293984     0.09
  6  V      0.134788   0.365212  0.293984     0.09
  7  V      0.865212   0.634788  0.293984     0.09
  8  V     -0         -0         0.305869     0.905
  9  V      0.5        0.5       0.305869     0.905
 10  O     -0          0.5       0.40785      0.006
 11  O      0.5       -0         0.40785      0.006
 12  O      0.633257   0.133257  0.989526    -0.006
 13  O      0.366743   0.866743  0.989526    -0.006
 14  O      0.133257   0.366743  0.989526    -0.006
 15  O      0.866743   0.633257  0.989526    -0.006
 16  O      0.086434   0.191386  0.40862     -0.009
 17  O      0.913566   0.808614  0.40862     -0.009
 18  O      0.191386   0.913566  0.40862     -0.009
 19  O      0.413566   0.691386  0.40862     -0.009
 20  O      0.808614   0.086434  0.40862     -0.009
 21  O      0.586434   0.308614  0.40862     -0.009
 22  O      0.308614   0.413566  0.40862     -0.009
 23  O      0.691386   0.586434  0.40862     -0.009
 24  O     -0         -0         0.007729    -0.109
 25  O      0.5        0.5       0.007729    -0.109"
K16 Fe16 O32,"Full Formula (K16 Fe16 O32)
Reduced Formula: KFeO2
abc   :   5.584382  11.167435  16.082600
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (64)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0.187731  0.732485  0.816557     0.001
  1  K     0.755458  0.483279  0.562536     0.004
  2  K     0.812269  0.232485  0.683443     0.001
  3  K     0.244542  0.983279  0.937464     0.004
  4  K     0.255458  0.483279  0.937464     0.004
  5  K     0.312269  0.267515  0.316557     0.001
  6  K     0.187731  0.767515  0.316557     0.001
  7  K     0.255458  0.016721  0.437464     0.004
  8  K     0.312269  0.232485  0.816557     0.001
  9  K     0.244542  0.516721  0.437464     0.004
 10  K     0.755458  0.016721  0.062536     0.004
 11  K     0.687731  0.767515  0.183443     0.001
 12  K     0.812269  0.267515  0.183443     0.001
 13  K     0.687731  0.732485  0.683443     0.001
 14  K     0.744542  0.516721  0.062536     0.004
 15  K     0.744542  0.983279  0.562536     0.004
 16  Fe    0.245388  0.991131  0.688893     4.06
 17  Fe    0.20568   0.735079  0.564461     4.061
 18  Fe    0.754612  0.008869  0.311107     4.06
 19  Fe    0.79432   0.264921  0.435539     4.061
 20  Fe    0.754612  0.491131  0.811107     4.06
 21  Fe    0.745388  0.508869  0.311107     4.06
 22  Fe    0.745388  0.991131  0.811107     4.06
 23  Fe    0.70568   0.735079  0.935539     4.061
 24  Fe    0.29432   0.235079  0.564461     4.061
 25  Fe    0.245388  0.508869  0.188893     4.06
 26  Fe    0.20568   0.764921  0.064461     4.061
 27  Fe    0.79432   0.235079  0.935539     4.061
 28  Fe    0.70568   0.764921  0.435539     4.061
 29  Fe    0.29432   0.264921  0.064461     4.061
 30  Fe    0.254612  0.008869  0.188893     4.06
 31  Fe    0.254612  0.491131  0.688893     4.06
 32  O     0.156917  0.087232  0.597344     0.358
 33  O     0.343083  0.912768  0.097344     0.358
 34  O     0.0676    0.025555  0.785704     0.357
 35  O     0.812819  0.170288  0.339194     0.352
 36  O     0.898199  0.797509  0.021061     0.354
 37  O     0.687181  0.670288  0.339194     0.352
 38  O     0.656917  0.412768  0.402656     0.358
 39  O     0.4324    0.525555  0.785704     0.357
 40  O     0.601801  0.297509  0.021061     0.354
 41  O     0.4324    0.974445  0.285704     0.357
 42  O     0.5676    0.474445  0.214296     0.357
 43  O     0.9324    0.525555  0.714296     0.357
 44  O     0.9324    0.974445  0.214296     0.357
 45  O     0.312819  0.170288  0.160806     0.352
 46  O     0.812819  0.329712  0.839194     0.352
 47  O     0.187181  0.670288  0.160806     0.352
 48  O     0.0676    0.474445  0.285704     0.357
 49  O     0.101801  0.297509  0.478939     0.354
 50  O     0.601801  0.202491  0.521061     0.354
 51  O     0.343083  0.587232  0.597344     0.358
 52  O     0.656917  0.087232  0.902656     0.358
 53  O     0.187181  0.829712  0.660806     0.352
 54  O     0.843083  0.587232  0.902656     0.358
 55  O     0.898199  0.702491  0.521061     0.354
 56  O     0.687181  0.829712  0.839194     0.352
 57  O     0.843083  0.912768  0.402656     0.358
 58  O     0.5676    0.025555  0.714296     0.357
 59  O     0.398199  0.702491  0.978939     0.354
 60  O     0.312819  0.329712  0.660806     0.352
 61  O     0.398199  0.797509  0.478939     0.354
 62  O     0.101801  0.202491  0.978939     0.354
 63  O     0.156917  0.412768  0.097344     0.358"
Na4 Ga4 O8,"Full Formula (Na4 Ga4 O8)
Reduced Formula: NaGaO2
abc   :   5.284966   5.521094   7.189272
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Na    0.015071  0.067911  0.622396        -0
  1  Na    0.515071  0.432089  0.122396        -0
  2  Na    0.515071  0.932089  0.377604        -0
  3  Na    0.015071  0.567911  0.877604        -0
  4  Ga    0.999922  0.064441  0.126061        -0
  5  Ga    0.499922  0.935559  0.873939        -0
  6  Ga    0.499922  0.435559  0.626061        -0
  7  Ga    0.999922  0.564441  0.373939        -0
  8  O     0.153062  0.460147  0.589952        -0
  9  O     0.653062  0.539853  0.410048        -0
 10  O     0.653062  0.039853  0.089952        -0
 11  O     0.153062  0.960147  0.910048        -0
 12  O     0.081446  0.888574  0.337517         0
 13  O     0.081446  0.388574  0.162483         0
 14  O     0.581446  0.611426  0.837517         0
 15  O     0.581446  0.111426  0.662483         0"
